Designator,Mid X,Mid Y,Rotation,Layer
C10,153.162,-102.87,0.0,bottom
C4,130.9635,-89.408,0.0,top
C5,131.064,-90.932,0.0,top
C6,119.2795,-92.71,180.0,bottom
C7,147.9815,-89.154,0.0,top
C8,141.224,-90.932,180.0,top
C9,143.256,-100.33,0.0,bottom
D1,128.778,-103.124,90.0,top
D2,157.226,-102.362,180.0,top
J1,142.763,-102.616,90.0,top
J2,159.709,-99.827,180.0,bottom
J3,159.766,-90.932,0.0,top
J4,121.2525,-95.967,270.0,top
J5,133.873,-102.616,90.0,top
L1,151.638,-95.347,270.0,top
Q1,150.114,-98.1225,270.0,bottom
Q2,154.0025,-97.028,0.0,bottom
R1,129.794,-93.6225,90.0,top
R10,144.526,-89.408,0.0,top
R11,156.972,-97.028,90.0,bottom
R12,150.622,-101.854,270.0,bottom
R13,139.954,-98.806,270.0,top
R14,153.162,-101.346,0.0,bottom
R15,156.972,-94.488,0.0,bottom
R2,131.318,-93.472,90.0,top
R3,135.128,-93.472,90.0,top
R4,133.604,-93.472,270.0,top
R5,149.098,-94.488,90.0,bottom
R6,148.082,-90.932,180.0,bottom
R7,135.128,-98.044,270.0,bottom
R8,133.604,-98.044,270.0,bottom
R9,132.08,-98.044,270.0,bottom
SW1,119.126,-96.266,90.0,bottom
U1,134.62,-92.456,270.0,bottom
U2,127.254,-92.964,90.0,top
U3,143.8425,-93.472,180.0,bottom
U4,143.522,-95.82,270.0,top
